AgentID,AgentID,Wealth,category,vision,Wealth_rank,step_,vision_
2500,2500,5.0,ant,4,7.291666666666667,4,1.0
2501,2501,14.0,ant,2,56.25,4,2.0
2502,2502,23.0,ant,1,93.75,4,6.0
2503,2503,14.0,ant,4,56.25,4,2.0
2504,2504,24.0,ant,3,94.79166666666667,4,6.0
2505,2505,20.0,ant,2,82.29166666666667,4,5.0
2506,2506,8.0,ant,3,18.75,4,1.0
2507,2507,22.0,ant,1,90.625,4,6.0
2508,2508,21.0,ant,3,87.5,4,5.0
2509,2509,28.0,ant,4,97.91666666666667,4,6.0
2510,2510,11.0,ant,1,34.375,4,1.0
2511,2511,10.0,ant,4,30.208333333333332,4,1.0
2512,2512,10.0,ant,1,30.208333333333332,4,1.0
2513,2513,10.0,ant,2,30.208333333333332,4,1.0
2514,2514,19.0,ant,1,77.08333333333333,4,4.0
2515,2515,9.0,ant,4,25.0,4,1.0
2516,2516,13.0,ant,2,48.958333333333336,4,1.0
2517,2517,15.0,ant,5,59.375,4,2.0
2518,2518,9.0,ant,4,25.0,4,1.0
2519,2519,21.0,ant,4,87.5,4,5.0
2520,2520,5.0,ant,1,7.291666666666667,4,1.0
2521,2521,19.0,ant,4,77.08333333333333,4,4.0
2522,2522,10.0,ant,4,30.208333333333332,4,1.0
2523,2523,22.0,ant,1,90.625,4,6.0
2524,2524,14.0,ant,4,56.25,4,2.0
2526,2526,9.0,ant,4,25.0,4,1.0
2527,2527,23.0,ant,4,93.75,4,6.0
2528,2528,13.0,ant,5,48.958333333333336,4,1.0
2529,2529,27.0,ant,3,95.83333333333333,4,6.0
2530,2530,12.0,ant,4,42.708333333333336,4,1.0
2531,2531,13.0,ant,2,48.958333333333336,4,1.0
2532,2532,21.0,ant,5,87.5,4,5.0
2533,2533,20.0,ant,1,82.29166666666667,4,5.0
2534,2534,31.0,ant,5,100.0,4,6.0
2535,2535,7.0,ant,1,14.583333333333334,4,1.0
2536,2536,12.0,ant,2,42.708333333333336,4,1.0
2537,2537,16.0,ant,4,63.541666666666664,4,3.0
2538,2538,17.0,ant,3,66.66666666666667,4,3.0
2539,2539,12.0,ant,2,42.708333333333336,4,1.0
2540,2540,23.0,ant,1,93.75,4,6.0
2541,2541,12.0,ant,2,42.708333333333336,4,1.0
2542,2542,3.0,ant,3,2.0833333333333335,4,1.0
2543,2543,20.0,ant,3,82.29166666666667,4,5.0
2544,2544,5.0,ant,2,7.291666666666667,4,1.0
2546,2546,11.0,ant,3,34.375,4,1.0
2547,2547,8.0,ant,5,18.75,4,1.0
2548,2548,19.0,ant,5,77.08333333333333,4,4.0
2549,2549,12.0,ant,5,42.708333333333336,4,1.0
2550,2550,28.0,ant,4,97.91666666666667,4,6.0
2551,2551,1.0,ant,4,1.0416666666666667,4,1.0
2552,2552,4.0,ant,1,4.166666666666667,4,1.0
2553,2553,20.0,ant,1,82.29166666666667,4,5.0
2554,2554,14.0,ant,5,56.25,4,2.0
2555,2555,9.0,ant,2,25.0,4,1.0
2556,2556,16.0,ant,5,63.541666666666664,4,3.0
2557,2557,16.0,ant,5,63.541666666666664,4,3.0
2558,2558,18.0,ant,1,68.75,4,3.0
2559,2559,21.0,ant,4,87.5,4,5.0
2560,2560,8.0,ant,1,18.75,4,1.0
2561,2561,6.0,ant,3,11.458333333333334,4,1.0
2562,2562,19.0,ant,4,77.08333333333333,4,4.0
2563,2563,13.0,ant,3,48.958333333333336,4,1.0
2564,2564,12.0,ant,5,42.708333333333336,4,1.0
2565,2565,13.0,ant,3,48.958333333333336,4,1.0
2567,2567,17.0,ant,3,66.66666666666667,4,3.0
2568,2568,16.0,ant,5,63.541666666666664,4,3.0
2569,2569,15.0,ant,4,59.375,4,2.0
2570,2570,19.0,ant,4,77.08333333333333,4,4.0
2571,2571,31.0,ant,4,100.0,4,6.0
2572,2572,13.0,ant,1,48.958333333333336,4,1.0
2574,2574,4.0,ant,3,4.166666666666667,4,1.0
2575,2575,11.0,ant,5,34.375,4,1.0
2576,2576,9.0,ant,3,25.0,4,1.0
2577,2577,19.0,ant,1,77.08333333333333,4,4.0
2578,2578,15.0,ant,1,59.375,4,2.0
2579,2579,9.0,ant,5,25.0,4,1.0
2580,2580,19.0,ant,5,77.08333333333333,4,4.0
2581,2581,21.0,ant,2,87.5,4,5.0
2582,2582,19.0,ant,5,77.08333333333333,4,4.0
2583,2583,14.0,ant,3,56.25,4,2.0
2584,2584,14.0,ant,4,56.25,4,2.0
2585,2585,6.0,ant,4,11.458333333333334,4,1.0
2586,2586,22.0,ant,5,90.625,4,6.0
2587,2587,6.0,ant,1,11.458333333333334,4,1.0
2588,2588,10.0,ant,2,30.208333333333332,4,1.0
2589,2589,20.0,ant,5,82.29166666666667,4,5.0
2590,2590,8.0,ant,4,18.75,4,1.0
2591,2591,7.0,ant,5,14.583333333333334,4,1.0
2592,2592,12.0,ant,2,42.708333333333336,4,1.0
2593,2593,14.0,ant,3,56.25,4,2.0
2594,2594,6.0,ant,4,11.458333333333334,4,1.0
2595,2595,11.0,ant,3,34.375,4,1.0
2596,2596,18.0,ant,5,68.75,4,3.0
2597,2597,17.0,ant,1,66.66666666666667,4,3.0
2598,2598,7.0,ant,3,14.583333333333334,4,1.0
2599,2599,12.0,ant,1,42.708333333333336,4,1.0
